timestamp,process_change,time_start_pre,time_stop_pre,duration_focused_pre,time_start_post,time_stop_post,duration_focused_post_1,errands_pre,meet_shift_to_online,tech_challenges,child_challenges,assist_coworkers,how_often_low_energy,how_often_poor_concentration,how_often_anxiety,how_often_less_work,how_often_poor_quality,how_often_more_mistakes,how_often_coworker_problem,job_category,postal_code,year_of_birth,sex,gender,race,process_change_elab,wfh,location,duration_focus_post_2,isolation_date,errand_time,tech_changes
4/5/2020 14:24:51,Yes,10:00:00 AM,5:30:00 PM,50% to 75%,9:30:00 AM,5:00:00 PM,,Yes,Any other,No,i was on paternity leave for all of February and only went back to work for a week before moving to full time WFH. My wife is still on maternity leave.,"yes, i have been trying to lead by example with overcommunicating via slack and email, as well as running remote pairing sessions using video conference and screen sharing technologies.",Some of the time (25%),Half the time (50%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Half the time (50%),None of the time (0%),Information,60607,1986,Male,Man,White/Caucasian,went from team stand/sync/meeting every other day to every day,"Yes, and I just began WFH due to isolation.","Chicago, IL, USA",50% to 75%,3/9/2020,12PM - 3PM,
4/5/2020 14:51:08,No,7:30:00 AM,4:30:00 PM,50% to 75%,8:00:00 AM,5:00:00 PM,,No,"Zoom, WebEx",No,,,Some of the time (25%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),Other Services (except Public Administration),94086,,,,,,"Yes, and I just began WFH due to isolation.",,50% to 75%,3/12/2020,12PM - 3PM,
4/5/2020 19:59:37,No,8:30:00 AM,5:30:00 PM,More than 75% of the time,8:00:00 AM,5:00:00 PM,,Yes,Skype,Yes,yes,yes,None of the time (0%),None of the time (0%),Some of the time (25%),Most of the time (75%),Some of the time (25%),None of the time (0%),Half the time (50%),Information,400066,1984,Male,Man,Asian,,"Yes, and I was already WFH prior to isolation.","Mumbai, Maharashtra, India",Between 25% and 50%,3/3/2020,Random,Internet
4/5/2020 21:24:05,Yes,7:30:00 AM,5:00:00 PM,50% to 75%,7:00:00 AM,5:00:00 PM,,No,"Skype, Zoom, Any other",Yes,No,Yes,Some of the time (25%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),Some of the time (25%),"Professional, Scientific, and Technical Services",T3E2C9,1967,Female,Woman,Canadian,"Our team instituted more online meetings, daily checkins and better use of our kanban board","Yes, and I just began WFH due to isolation.","Calgary, Alberta, Canada",More than 75% of the time,3/16/2020,,"Our Work VPN, also MSTeams"
4/5/2020 21:38:17,No,6:30:00 AM,3:30:00 PM,50% to 75%,5:00:00 AM,5:00:00 PM,,No,"Skype, Zoom, Any other",No,Yes,Sharing guidance about how to keep the children occupied,Some of the time (25%),Half the time (50%),Half the time (50%),Half the time (50%),Some of the time (25%),Some of the time (25%),None of the time (0%),"Professional, Scientific, and Technical Services",92591,1982,Male,Man,White/Caucasian,,"Yes, and I was already WFH prior to isolation.","Temecula, CA, USA",50% to 75%,3/16/2020,,
4/6/2020 0:46:48,,9:30:00 AM,6:00:00 PM,More than 75% of the time,,,,,,,,,Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),Other Services (except Public Administration),530017,1961,Male,Man,Asian,,"No, I am not currently working.","Visakhapatnam, Andhra Pradesh, India",,3/23/2020,,
4/6/2020 9:18:14,No,9:30:00 AM,5:00:00 PM,50% to 75%,9:15:00 AM,5:15:00 PM,,Yes,Zoom,No,I feed the baby 2-3 times during work hours. ,,None of the time (0%),None of the time (0%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),Educational Services,94708,1987,Female,Woman,White/Caucasian,,"Yes, and I just began WFH due to isolation.","Kensington, California, USA",50% to 75%,3/11/2020,Random,
4/6/2020 12:43:44,,9:00:00 AM,5:45:00 PM,More than 75% of the time,,,,,,,,,Some of the time (25%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),Information,60607,1985,Prefer not to say,Prefer not to say,,,"No, I am working at my regular job in-person.","Chicago, IL",,3/18/2020,,
4/6/2020 15:38:52,No,9:00:00 AM,4:00:00 PM,Between 25% and 50%,10:00:00 AM,5:00:00 PM,,Yes,Zoom,No,Yes,No,Most of the time (75%),Most of the time (75%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),"Professional, Scientific, and Technical Services",95129,1984,Female,Woman,Asian,,"Yes, and I just began WFH due to isolation.",California,Between 25% and 50%,3/1/2020,3PM and later,Printer
4/6/2020 15:41:05,No,,,More than 75% of the time,11:00:00 AM,6:00:00 PM,,Yes,Zoom,No,I don't have children,No,Half the time (50%),Some of the time (25%),Half the time (50%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),Not currently working,94103,1966,Male,Man,White/Caucasian,,"Yes, and I was already WFH prior to isolation.","San Francisco, California, USA",50% to 75%,3/16/2020,12PM - 3PM,
4/6/2020 16:41:06,No,9:00:00 AM,6:00:00 PM,50% to 75%,9:30:00 AM,6:00:00 AM,,No,Any other,No,,,Half the time (50%),Some of the time (25%),None of the time (0%),None of the time (0%),Some of the time (25%),None of the time (0%),None of the time (0%),Retail Trade,10036,,Female,Woman,Asian,,"Yes, and I just began WFH due to isolation.","New York, NY",Between 25% and 50%,3/13/2020,,
4/6/2020 17:48:30,No,7:00:00 AM,3:00:00 PM,More than 75% of the time,8:00:00 AM,3:00:00 PM,,Yes,Any other,No,No children,,Most of the time (75%),Most of the time (75%),Most of the time (75%),Most of the time (75%),Some of the time (25%),Some of the time (25%),Some of the time (25%),"Professional, Scientific, and Technical Services",92663,1994,Female,Woman,"White/Caucasian, Hispanic/Latino/Latinx",,"Yes, and I just began WFH due to isolation.","Newport Beach, CA USA",Between 25% and 50%,3/9/2020,Random,
4/6/2020 20:52:05,Yes,7:00:00 AM,3:00:00 PM,50% to 75%,7:00:00 AM,5:00:00 PM,,No,Zoom,No,No,Being patient and tolerant. ,Half the time (50%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),Information,94536,,Male,Man,Asian,Take 5 minutes break every 1hour,"Yes, and I just began WFH due to isolation.","Fremont, California, USA",More than 75% of the time,3/9/2020,Random,
4/6/2020 21:57:13,,9:00:00 AM,6:00:00 PM,Between 25% and 50%,,,,,,,,,Some of the time (25%),Half the time (50%),Some of the time (25%),Half the time (50%),None of the time (0%),Some of the time (25%),Some of the time (25%),"Professional, Scientific, and Technical Services",93101,1981,Male,Man,White/Caucasian,,"No, I am working at my regular job in-person.","Santa Barbara, CA, USA",,3/16/2020,,
4/7/2020 11:34:18,No,8:30:00 AM,5:30:00 PM,More than 75% of the time,7:00:00 AM,11:30:00 PM,,No,"Skype, Zoom",No,Yes,,None of the time (0%),None of the time (0%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),Information,07041,1972,Male,Man,Asian,,"Yes, and I just began WFH due to isolation.","MILLBURN, NJ, USA",,3/2/2020,,
4/7/2020 12:51:05,Yes,8:00:00 AM,7:00:00 PM,More than 75% of the time,6:30:00 AM,6:00:00 PM,,No,Zoom,No,I haven't any children. ,Oh yes; I led a number of trainings for my co-workers. ,Some of the time (25%),Some of the time (25%),None of the time (0%),Some of the time (25%),Some of the time (25%),None of the time (0%),None of the time (0%),Educational Services,94703,1985,Male,Man,White/Caucasian,"I brought home a desk, computer monitors, desk chair, books, etc. They are now jointly placed in our study with the other desk, which my partner uses. ","Yes, and I just began WFH due to isolation.",Can' you look this up from Zip code? ,50% to 75%,3/1/2020,Random,
4/8/2020 1:03:09,No,10:00:00 AM,6:00:00 PM,50% to 75%,9:00:00 AM,9:00:00 PM,,Yes,"Skype, WebEx",No,No,,Most of the time (75%),Half the time (50%),Half the time (50%),Half the time (50%),Half the time (50%),Half the time (50%),Most of the time (75%),Information,94539,1977,Male,Man,Asian,,"Yes, and I just began WFH due to isolation.",Fremont . Ca,Between 25% and 50%,3/4/2020,9AM - 12PM,
4/8/2020 20:27:04,Yes,8:00:00 AM,8:00:00 PM,50% to 75%,8:00:00 AM,7:00:00 PM,,No,Skype,No,N/A,"We check on in each other a lot more. We have virtual lunch sessions twice a week, happy hours once a week, just to be social and release some steam. Some of them live alone and have demanding jobs, so it's easy for them to feel particularly isolated and stressed. ",Some of the time (25%),Some of the time (25%),Most of the time (75%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Half the time (50%),"Professional, Scientific, and Technical Services",94061,1986,Female,Woman,"White/Caucasian, Hispanic/Latino/Latinx","Because people are slacking me considerably more and I find that hugely distracting, I set up time slots where people are not going to be working (early morning or later in the evening) to allocate to productive work","Yes, and I just began WFH due to isolation.","Redwood City, CA",50% to 75%,3/14/2020,,
4/12/2020 17:52:58,No,8:15:00 AM,5:00:00 PM,More than 75% of the time,8:30:00 AM,5:00:00 PM,,No,Zoom,Yes,,,Half the time (50%),Most of the time (75%),Most of the time (75%),Some of the time (25%),Half the time (50%),Most of the time (75%),Some of the time (25%),Other Services (except Public Administration),91709,1994,Female,Woman,Asian,,"Yes, and I just began WFH due to isolation.",Chino Hills,50% to 75%,3/16/2020,3PM and later,"Internet, Phone"
4/12/2020 18:01:57,,,,More than 75% of the time,,,,,,,,,None of the time (0%),None of the time (0%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),,Information,92253,1993,Male,Man,Hispanic/Latino/Latinx,,"No, I am working at my regular job in-person.","La Quinta, CA, USA",,3/15/2020,,
4/12/2020 18:07:52,,,,,,,,,,,,,Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Some of the time (25%),Not currently working,92391,1990,Female,Woman,Hispanic/Latino/Latinx,,"No, I am not currently working.","Twin Peaks, CA,USA",,3/1/2020,,
4/12/2020 18:12:41,No,10:00:00 AM,9:00:00 PM,50% to 75%,10:00:00 AM,9:00:00 AM,,Yes,Zoom,No,Children suck ,They need to grow up ,Half the time (50%),Half the time (50%),Most of the time (75%),Most of the time (75%),Most of the time (75%),Some of the time (25%),None of the time (0%),Educational Services,92374,1983,Female,Woman,Asian,,"Yes, and I was already WFH prior to isolation.","Redlands,CA, USA",Between 25% and 50%,3/10/2020,Random,None 
4/12/2020 18:12:43,No,9:45:00 AM,5:30:00 PM,50% to 75%,9:00:00 AM,6:30:00 PM,,No,Any other,No,,,Some of the time (25%),Some of the time (25%),None of the time (0%),Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),Information,90293,1983,Male,Man,Asian,,"Yes, and I just began WFH due to isolation.","Playa del Rey, ca",More than 75% of the time,3/16/2020,3PM and later,Internet
4/12/2020 18:26:01,,6:00:00 AM,12:00:00 PM,More than 75% of the time,,,,,,,,,Most of the time (75%),Most of the time (75%),Most of the time (75%),Some of the time (25%),Half the time (50%),Half the time (50%),Most of the time (75%),Accommodation and Food Services,91776,1983,Male,Man,Asian,,"No, I am working at my regular job in-person.","Alhambra, CA ",,3/19/2020,,
4/12/2020 18:39:55,No,10:00:00 AM,6:00:00 PM,More than 75% of the time,10:00:00 AM,6:00:00 PM,,Yes,Any other,No,No. I don’t take care of baby during work hours ,No,None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Information,91745,1983,Male,Attack helicopter,Asian,I didn’t ,"Yes, and I just began WFH due to isolation.",Hacienda heights ca,More than 75% of the time,3/3/2020,Random,
4/12/2020 18:44:03,,8:00:00 AM,5:00:00 PM,More than 75% of the time,,,,,,,,,Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Manufacturing,92505,1987,Female,Woman,Hispanic/Latino/Latinx,,"No, I am working at my regular job in-person.","Riverside,  Ca United States ",,3/30/2020,,
4/12/2020 19:28:24,,,,Between 25% and 50%,,,,,,,,,Some of the time (25%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Not currently working,92346,,Female,Woman,Asian,,"No, I am not currently working.",CA,,3/16/2020,,
4/12/2020 19:43:57,Yes,7:30:00 AM,4:00:00 PM,More than 75% of the time,8:00:00 AM,3:00:00 PM,,Yes,Zoom,No,No,Provide tech support,Some of the time (25%),Some of the time (25%),Half the time (50%),Half the time (50%),None of the time (0%),None of the time (0%),None of the time (0%),Educational Services,91789,1983,Male,Man,Asian,Research and education using teleconferencing applications ,"Yes, and I just began WFH due to isolation.","Walnut, CA, USA",50% to 75%,3/16/2020,12PM - 3PM,
4/12/2020 20:06:45,No,9:00:00 AM,7:30:00 PM,50% to 75%,7:45:00 AM,6:30:00 PM,,Yes,Zoom,No,No,Yes,None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Utilities,122002,,Male,Man,Asian,,"Yes, and I was already WFH prior to isolation.",India,50% to 75%,3/12/2020,3PM and later,
4/13/2020 5:05:42,No,5:00:00 AM,7:30:00 PM,More than 75% of the time,4:00:00 AM,8:00:00 PM,,No,Zoom,Yes,Yes,No,None of the time (0%),None of the time (0%),Half the time (50%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Other Services (except Public Administration),92399,1981,Male,Man,Hispanic/Latino/Latinx,No,"Yes, and I just began WFH due to isolation.",Yucaipa,50% to 75%,3/19/2020,Random,Internet
4/13/2020 12:59:32,,,,25% or less,,,,,,,,,None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),None of the time (0%),Not currently working,76033,1982,Female,Woman,Hispanic/Latino/Latinx,,"No, I am not currently working.","Cleburne, Texas, USA",,3/11/2020,,
